ts_ns,tau_s,btc_microprice,btc_bid,btc_ask,yes_bid,yes_ask,yes_mid,floor_strike,window_ticker
1778127244159944600,55.8,80866.87,80866.86,80866.87,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
1778127245174379700,54.8,80869.94,80869.93,80869.94,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
1778127246189547800,53.8,80869.94,80869.93,80869.94,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
1778127247200501700,52.8,80869.94,80869.93,80869.94,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
1778127248214450700,51.8,80869.94,80869.93,80869.94,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
1778127249227815500,50.8,80869.93,80869.93,80869.94,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
1778127250242599400,49.8,80869.97,80869.96,80869.97,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
1778127251242845800,48.8,80872.31,80872.30,80872.31,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
1778127252256406500,47.7,80873.00,80872.99,80873.00,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
1778127253267745000,46.7,80872.99,80872.99,80873.00,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127254280055000,45.7,80873.00,80872.99,80873.00,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127255293717300,44.7,80873.00,80872.99,80873.00,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127256305495700,43.7,80874.22,80874.21,80874.22,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127257307540100,42.7,80876.08,80876.07,80876.08,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127258320066000,41.7,80876.08,80876.07,80876.08,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127259335061900,40.7,80879.74,80879.73,80879.74,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127260350147500,39.6,80882.22,80882.21,80882.22,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127261351724000,38.6,80883.61,80883.60,80883.61,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127262354206500,37.6,80887.50,80887.49,80887.50,0.9890,0.9900,0.9895,80845.71,KXBTC15M-26MAY070015-15
1778127263367722000,36.6,80887.50,80887.49,80887.50,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127264380067500,35.6,80887.50,80887.49,80887.50,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127265386429400,34.6,80890.50,80890.49,80890.50,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127266390441500,33.6,80894.50,80894.49,80894.50,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127267390779600,32.6,80901.14,80901.14,80901.15,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127268405555900,31.6,80901.15,80901.14,80901.15,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127269420349700,30.6,80901.14,80901.14,80901.15,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127270421162000,29.6,80901.14,80901.14,80901.15,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127271431715800,28.6,80901.14,80901.14,80901.15,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127272447596900,27.6,80902.02,80902.01,80902.02,0.9950,0.9960,0.9955,80845.71,KXBTC15M-26MAY070015-15
1778127273459832700,26.5,80903.71,80903.70,80903.71,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127274472695700,25.5,80902.48,80902.48,80902.49,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127275484198800,24.5,80901.14,80901.14,80901.15,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127276496453200,23.5,80901.14,80901.14,80901.15,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127277497666400,22.5,80897.15,80896.24,80897.15,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127278509058800,21.5,80897.15,80897.14,80897.15,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127279523084500,20.5,80898.07,80898.06,80898.07,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127280534095200,19.5,80898.08,80898.07,80898.08,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127281548588400,18.5,80898.08,80898.07,80898.08,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127282549986900,17.5,80898.08,80898.07,80898.08,0.9950,0.9970,0.9960,80845.71,KXBTC15M-26MAY070015-15
1778127283562321000,16.4,80898.08,80898.07,80898.08,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127284577512300,15.4,80898.08,80898.07,80898.08,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127285589526200,14.4,80898.08,80898.07,80898.08,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127286602175000,13.4,80898.07,80898.07,80898.08,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127287610740700,12.4,80898.07,80898.07,80898.08,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127288626369400,11.4,80908.99,80908.98,80908.99,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127289634120500,10.4,80906.82,80906.81,80906.82,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127290636039600,9.4,80909.03,80909.02,80909.03,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127291648660900,8.4,80909.03,80909.02,80909.03,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127292650992400,7.3,80909.02,80909.02,80909.03,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127293666189700,6.3,80904.98,80904.98,80904.99,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127294678503600,5.3,80898.07,80898.07,80898.08,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127295691336500,4.3,80905.99,80905.99,80906.00,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127296693149300,3.3,80904.47,80904.46,80904.47,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127297695237200,2.3,80870.00,80870.00,80870.01,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127298708497100,1.3,80869.94,80869.94,80869.95,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127299719986900,0.3,80866.87,80866.87,80866.89,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127300733473400,0.0,80863.38,80863.38,80863.39,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127301747396400,0.0,80860.73,80860.73,80860.74,0.9980,0.9990,0.9985,80845.71,KXBTC15M-26MAY070015-15
1778127302762385200,0.0,80864.46,80864.46,80864.47,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127303777119800,0.0,80864.46,80864.46,80864.47,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127304788454900,0.0,80864.46,80864.46,80864.47,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127305800706800,0.0,80864.46,80864.46,80864.47,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127306815494500,0.0,80864.46,80864.46,80864.47,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127307830428200,0.0,80860.67,80860.67,80860.68,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127308831926500,0.0,80860.67,80860.67,80860.68,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127309846244000,0.0,80860.67,80860.67,80860.68,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127310861490000,0.0,80860.67,80860.67,80860.68,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127311874455900,0.0,80860.67,80860.67,80860.68,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127312885312000,0.0,80860.67,80860.67,80860.68,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127313885627200,0.0,80853.99,80853.98,80853.99,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127314888196500,0.0,80853.99,80853.98,80853.99,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127315889363800,0.0,80853.99,80853.98,80853.99,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127316902281300,0.0,80856.83,80856.82,80856.83,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127317905669900,0.0,80856.83,80856.82,80856.83,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127318921414700,0.0,80842.31,80842.31,80842.32,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127319934182500,0.0,80842.32,80842.31,80842.32,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127320935325400,0.0,80842.32,80842.31,80842.32,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127321948949500,0.0,80842.32,80842.31,80842.32,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127322950930400,0.0,80842.32,80842.31,80842.32,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127323964450200,0.0,80842.32,80842.31,80842.32,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127324965847900,0.0,80842.32,80842.31,80842.32,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127325980567500,0.0,80849.99,80849.98,80849.99,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127326994333100,0.0,80849.99,80849.98,80849.99,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127328000071700,0.0,80849.99,80849.98,80849.99,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127329004948300,0.0,80856.83,80856.82,80856.83,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127330011351600,0.0,80861.52,80861.51,80861.52,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127331014810000,0.0,80865.04,80864.83,80865.80,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127332018613400,0.0,80863.99,80863.98,80863.99,0.9990,1.0000,0.9995,80845.71,KXBTC15M-26MAY070015-15
1778127333032375300,867.0,80863.98,80863.98,80863.99,0.9990,1.0000,0.9995,80889.16,KXBTC15M-26MAY070030-30
1778127334046638100,866.0,80863.98,80863.98,80863.99,0.3800,0.3900,0.3850,80889.16,KXBTC15M-26MAY070030-30
1778127335061224400,864.9,80863.98,80863.98,80863.99,0.3800,0.3900,0.3850,80889.16,KXBTC15M-26MAY070030-30
1778127336062941200,863.9,80863.99,80863.98,80863.99,0.3800,0.3900,0.3850,80889.16,KXBTC15M-26MAY070030-30
1778127337069165800,862.9,80864.70,80864.69,80864.70,0.3800,0.3900,0.3850,80889.16,KXBTC15M-26MAY070030-30
1778127338082682900,861.9,80864.70,80864.69,80864.70,0.3800,0.3900,0.3850,80889.16,KXBTC15M-26MAY070030-30
1778127339083014400,860.9,80869.94,80869.93,80869.94,0.3800,0.3900,0.3850,80889.16,KXBTC15M-26MAY070030-30
1778127340098336800,859.9,80869.94,80869.93,80869.94,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
1778127341104079500,858.9,80869.94,80869.93,80869.94,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
1778127342104214800,857.9,80869.94,80869.93,80869.94,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
1778127343111555700,856.9,80869.94,80869.93,80869.94,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
1778127344125455900,855.9,80869.94,80869.93,80869.94,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
1778127345131130700,854.9,80869.87,80869.87,80869.88,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
1778127346133827300,853.9,80869.87,80869.87,80869.88,0.4400,0.4500,0.4450,80889.16,KXBTC15M-26MAY070030-30
