ts_ns,tau_s,btc_microprice,btc_bid,btc_ask,cb_microprice,bn_microprice,yes_bid,yes_ask,yes_mid,floor_strike,window_ticker
1778132254782408900,445.2,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132254892179500,445.1,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132254992325700,445.0,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132255093661100,444.9,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132255203189300,444.8,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132255311646200,444.7,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132255419255600,444.6,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132255527351000,444.5,81054.86,81054.85,81054.86,81054.86,81054.86,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132255633785900,444.4,81054.86,81054.85,81054.86,81054.86,81054.86,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132255743419700,444.3,81054.85,81054.85,81054.86,81054.85,81054.85,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132255855225800,444.1,81054.85,81054.85,81054.86,81054.85,81054.85,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132255964679900,444.0,81054.85,81054.85,81054.86,81054.85,81054.85,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
